company,report_year,activity,label,code_numeric
AKWEL,2023,Activity 3.18 - Manufacture of automotive and mobility components,,3.18
AKWEL,2023,"5.1 - Repair, refurbishment and reconditioning",,5.1
AKWEL,2023,5.2 - Sale of spare parts,,5.2
AKWEL,2023,"Activity 6.5 - Motorcycle, passenger car and light commercial vehicle transport",,6.5
AKWEL,2023,Activity 7.2 - Renovating existing buildings,,7.2
AKWEL,2023,"Activity 7.3 - Installation, maintenance and repair of energy efficiency",,7.3
AKWEL,2023,Acquisition and ownership of buildings,,7.7
AKZO NOBEL NV,2024,Manufacture of renewable energy technologies,CCM,3.1
AKZO NOBEL NV,2024,Manufacture of low carbon technologies for transport,CCM,3.3
AKZO NOBEL NV,2024,Manufacture of other low carbon technologies,CCM,3.6
AKZO NOBEL NV,2024,"Construction, extension and operation of waste water collection and treatment",CCM,5.3
AKZO NOBEL NV,2024,"Transport by motorbikes, passenger cars and light commercial vehicles",CCM,6.5
AKZO NOBEL NV,2024,Renovation of existing buildings,CCM,7.2
AKZO NOBEL NV,2024,"Installation, maintenance and repair of renewable energy technologies",CCM,7.6
AKZO NOBEL NV,2024,Acquisition and ownership of buildings,CCM,7.7
AKZO NOBEL NV,2024,Data-driven solutions for GHG emissions reductions,CCM,8.2
AKZO NOBEL NV,2024,Provision of IT/OT data-driven solutions,CE,4.1
AKZO NOBEL NV,2024,Remediation of contaminated sites and areas,PP,2.4
AMAG Austria Metall AG,2023,Manufacture of aluminium through primary alumina (bauxite) process,CCM,3.8
AMAG Austria Metall AG,2023,Secondary aluminium recycling,CCM,3.8
ARCELORMITTAL SA,2024,Forest Management,CCM,1.3
ARCELORMITTAL SA,2024,Manufacture of energy efficient equipment for buildings,CCM,3.5
ARCELORMITTAL SA,2024,Manufacture of Iron and Steel,CCM,3.9
ARCELORMITTAL SA,2024,Electricity Generation from wind power and solar photovoltaic technology,CCM,4.1
ARCELORMITTAL SA,2024,Material recovery from non-hazardous waste,CCM,5.9
ARCELORMITTAL SA,2024,Construction of new building,CCM,7
ASML HOLDING N.V.,2024,Renovation of existing buildings,CCA,7.2
ASML HOLDING N.V.,2024,Acquisition and ownership of buildings,CCA,7.7
ASML HOLDING N.V.,2024,Electricity generation using solar photovoltaic technology,CCM,4.1
ASML HOLDING N.V.,2024,Transmission & distribution of electricity,CCM,4.9
ASML HOLDING N.V.,2024,Renovation of existing buildings,CCM,7.2
ASML HOLDING N.V.,2024,Acquisition and ownership of buildings,CCM,7.7
ASML HOLDING N.V.,2024,Manufacture of electrical and electronic equipment,CE,1.2
ASML HOLDING N.V.,2024,Renovation of existing buildings,CE,3.2
ASML HOLDING N.V.,2024,"Repair, refurbishment and remanufacturing",CE,5.1
ASML HOLDING N.V.,2024,Sale of spare parts,CE,5.2
ASML HOLDING N.V.,2024,Sale of second-hand goods,CE,5.4
ATOSS Software SE,2023,"Carriage by motorbikes, passenger cars and light commercial vehicles",CCM,6.5
ATOSS Software SE,2023,Manufacturer of electrical and electronic equipment,CE,1.2
ATOSS Software SE,2023,"The undertaking carries out, funds or has exposures to construction and safe operationof new nuclear installations to produce electricity or process heat, including for thepurposes of district heating or industrial processes such as hydrogen production, as wellas their safety upgrades, using best available technologies.",,
ATOSS Software SE,2023,"The undertaking carries out, funds or has exposures to construction or operation of electricitygeneration facilities that produce electricity using fossil gaseous fuels.",,
ATOSS Software SE,2023,"The undertaking carries out, funds or has exposures to construction, refurbishment andoperation of heat generation facilities that produce heat/cool using fossil gaseous fuels.",,
ATOSS Software SE,2023,"The undertaking carries out, funds or has exposures to construction, refurbishment, andoperation of combined heat/cool and power generation facilities using fossil gaseousfuels.",,
ATOSS Software SE,2023,"The undertaking carries out, funds or has exposures to research, development, demonstrationand deployment of innovative electricity generation facilities that produce energy fromnuclear processes with minimal waste from the fuel cycle.",,
ATOSS Software SE,2023,"The undertaking carries out, funds or has exposures to safe operation of existing nuclearinstallations that produce electricity or process heat, including for the purposes of districtheating or industrial processes such as hydrogen production from nuclear energy, as well astheir safety upgrades.",,
Acerinox S.A.,2023,Iron and steel manufacturing,,3.9
Acerinox S.A.,2023,Manufacture of iron and steel (CNAE 12.24),CCM,3.9
Acerinox S.A.,2023,"The undertaking carries out, funds or has exposures to construction and safe operation of new nuclear installations to produce electricity or process heat, including for the purposes of district heating or industrial processes such as hydrogen production, as well as their safety upgrades, using best available technologies.",,
Acerinox S.A.,2023,"The undertaking carries out, funds or has exposures to construction or operation of electricity generation facilities that produce electricity using fossil gaseous fuels.",,
Acerinox S.A.,2023,"The undertaking carries out, funds or has exposures to construction, refurbishment and operation of heat generation facilities that produce heat/cool using fossil gaseous fuels.",,
Acerinox S.A.,2023,"The undertaking carries out, funds or has exposures to construction, refurbishment, and operation of combined heat/cool and power generation facilities using fossil gaseous fuels.",,
Acerinox S.A.,2023,"The undertaking carries out, funds or has exposures to research, development, demonstration and deployment of innovative electricity generation facilities that produce energy from nuclear processes with minimal waste from the fuel cycle.",,
Acerinox S.A.,2023,"The undertaking carries out, funds or has exposures to safe operation of existing nuclear installations that produce electricity or process heat, including for the purposes of district heating or industrial processes such as hydrogen production from nuclear energy, as well as their safety upgrades.",,
Acerinox S.A.,2023,flood risk prevention and protection infrastructure,,
Acerinox S.A.,2023,manufacture of basic iron and steel and ferro-alloys,,
Acerinox S.A.,2023,preparation to reuse products and product components at the ends of their useful lives,,
Acerinox S.A.,2023,renovation of existing buildings,,
Acerinox S.A.,2023,valorization of hazardous and non-hazardous waste materials,,
Ackermans & van Haaren,2023,Electricity generation from wind power,,D35.11
Ackermans & van Haaren,2023,Transmission and Distribution of Electricity,,D35.12
Ackermans & van Haaren,2023,Sorting and material recovery of non-hazardous waste,,E38.32
Ackermans & van Haaren,2023,Renovation of existing buildings,,F41
Ackermans & van Haaren,2023,Construction of new buildings,,F41.1
Ackermans & van Haaren,2023,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",,F42
Ackermans & van Haaren,2023,Infrastructure for rail transport,,F42.12
Ackermans & van Haaren,2023,Computer programming activities,,J62.01
Ackermans & van Haaren,2023,Acquisition and ownership of buildings,,L68
Ackermans & van Haaren,2023,Remediation of contaminated sites and areas,,
"Aena S.M.E., S.A.",2023,Production of alternative water resources for purposes other than human consumption,,2.2
"Aena S.M.E., S.A.",2023,Remediation of contaminated sites and areas,,2.4
"Aena S.M.E., S.A.",2023,Maintenance of roads and motorways,,3.4
"Aena S.M.E., S.A.",2023,Low-carbon airport infrastructure,,6.17
"Aena S.M.E., S.A.",2023,Air transport ground handling operations,,6.20
"Aena S.M.E., S.A.",2023,"Transport by motorbikes, passenger cars and light commercial vehicles",,6.5
"Aena S.M.E., S.A.",2023,"Installation, maintenance and repair of energy-efficient equipment",,7.3
"Aena S.M.E., S.A.",2023,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",,7.4
"Aena S.M.E., S.A.",2023,"Installation, maintenance and repair of renewable energy technologies",,7.6
"Aena S.M.E., S.A.",2023,Acquisition and ownership of buildings,,7.7
"Aena S.M.E., S.A.",2023,Infrastructure enabling low-carbon road transport and public transport,CCM,6.15
"Aena S.M.E., S.A.",2023,Low carbon airport infrastructure,CCM,6.17
"Aena S.M.E., S.A.",2023,Air transport ground handling operations,CCM,6.20
"Aena S.M.E., S.A.",2023,"Transport by motorbikes, passenger cars and light commercial vehicles",CCM,6.5
"Aena S.M.E., S.A.",2023,"Installation, maintenance and repair of energy efficiency equipment",CCM,7.3
"Aena S.M.E., S.A.",2023,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",CCM,7.4
"Aena S.M.E., S.A.",2023,"Installation, maintenance and repair of renewable energy technologies",CCM,7.6
"Aena S.M.E., S.A.",2023,Acquisition and ownership of buildings,CCM,7.7
"Aena S.M.E., S.A.",2023,Production of alternative water resources for purposes other than human consumption,CE,2.2
"Aena S.M.E., S.A.",2023,Maintenance of roads and motorways,CE,3.4
"Aena S.M.E., S.A.",2023,Remediation of contaminated sites and areas,PPC,2.4
"Aena S.M.E., S.A.",2023,Urban waste water treatment,WRT,2.2
Allianz SE,2023,"The undertaking carries out, funds or has exposures to research, development, demonstration and deployment of innovative electricity generation facilities that produce energy from nuclear processes with minimal waste from the fuel cycle.",,4.26
Allianz SE,2023,"The undertaking carries out, funds or has exposures to construction and safe operation of new nuclear installations to produce electricity or process heat, including for the purposes of district heating or industrial processes such as hydrogen production, as well as their safety upgrades, using best available technologies.",,4.27
Allianz SE,2023,"The undertaking carries out, funds or has exposures to safe operation of existing nuclear installations that produce electricity or process heat, including for the purposes of district heating or industrial processes such as hydrogen production from nuclear energy, as well as their safety upgrades.",,4.28
Allianz SE,2023,"The undertaking carries out, funds or has exposures to construction or operation of electricity generation facilities that produce electricity using fossil gaseous fuels.",,4.29
Allianz SE,2023,"The undertaking carries out, funds or has exposures to construction, refurbishment, and operation of combined heat/cool and power generation facilities using fossil gaseous fuels.",,4.30
Allianz SE,2023,"The undertaking carries out, funds or has exposures to construction, refurbishment and operation of heat generation facilities that produce heat/cool using fossil gaseous fuels.",,4.31
Allianz SE,2023,A.1. Non-life insurance and reinsurance underwriting Taxonomy-aligned activities (environmentally sustainable),,
Allianz SE,2023,A.1.1 Of which reinsured,,
Allianz SE,2023,A.1.2 Of which stemming from reinsurance activities,,
Allianz SE,2023,A.1.2.1 Of which reinsured (retrocession),,
Allianz SE,2023,A.2 Non-life insurance and reinsurance underwriting Taxonomy-eligible but not environmentally sustainable activities (not Taxonomy-aligned activities),,
Allianz SE,2023,B. Non-life insurance and reinsurance underwriting Taxonomy-non-eligible activities,,
Allianz SE,2023,Investments funding other Taxonomy-aligned economic activities other than nuclear & gas related economic activities,,
Allianz SE,2023,"The undertaking carries out, funds or has exposures to construction and safe operation of new nuclear installations to produce electricity or process heat, including for the purposes of district heating or industrial processes such as hydrogen production, as well as their safety upgrades, using best available technologies.",,
Allianz SE,2023,"The undertaking carries out, funds or has exposures to construction or operation of electricity generation facilities that produce electricity using fossil gaseous fuels.",,
Allianz SE,2023,"The undertaking carries out, funds or has exposures to construction, refurbishment and operation of heat generation facilities that produce heat/cool using fossil gaseous fuels.",,
Allianz SE,2023,"The undertaking carries out, funds or has exposures to construction, refurbishment, and operation of combined heat/cool and power generation facilities using fossil gaseous fuels.",,
Allianz SE,2023,"The undertaking carries out, funds or has exposures to research, development, demonstration and deployment of innovative electricity generation facilities that produce energy from nuclear processes with minimal waste from the fuel cycle.",,
Allianz SE,2023,"The undertaking carries out, funds or has exposures to safe operation of existing nuclear installations that produce electricity or process heat, including for the purposes of district heating or industrial processes such as hydrogen production from nuclear energy, as well as their safety upgrades.",,
Alzchem Group AG,2023,Power generation using photovoltaic technology,CCM,4.1
Alzchem Group AG,2023,Transmission and distribution of electricity (e),CCM,4.9
Alzchem Group AG,2023,"Construction, expansion and operation of water extraction, treatment and supply systems",CCM,5.1
Alzchem Group AG,2023,"Renewal of water extraction, treatment and supply systems",CCM,5.2
Alzchem Group AG,2023,"Construction, expansion and operation of wastewater collection and treatment systems",CCM,5.3
Alzchem Group AG,2023,Renewal of wastewater collection and treatment systems,CCM,5.4
Alzchem Group AG,2023,Rail transport infrastructure,CCM,6.14
Alzchem Group AG,2023,Freight transportation by rail,CCM,6.2
Alzchem Group AG,2023,"Operation of devices for personal mobility, cycling logistics",CCM,6.4
Alzchem Group AG,2023,"Data processing, hosting and related activities",CCM,8.1
Alzchem Group AG,2023,"Market-oriented research, development and innovation",CCM,9.1
Andritz AG,2023,Water treatment and waste management,,5.2.
Andritz AG,2023,Electrically powered vehicles,,6.5.
Andritz AG,2023,Sustainable renovation and maintenance of buildings,,7.2.
Andritz AG,2023,Charging stations for electric vehicles,,7.4.
Andritz AG,2023,Installation of photovoltaic systems,,7.6.
Andritz AG,2023,CCM 3.1. Manufacture of renewable energy technologies,CCM,3.1
Andritz AG,2023,"CCM 3.20. Manufacture, installation, and servicing of high, medium and low voltage electrical equipment for electrical transmission and distribution that result in or enable a substantial contribution to climate change mitigation",CCM,3.20
Andritz AG,2023,CCM 3.6. Manufacture of other low carbon technologies,CCM,3.6
Andritz AG,2023,"CCM 5.2. Renewal of water collection, treatment, and supply systems",CCM,5.2
Andritz AG,2023,"CCM 6.5. Transport by motorbikes, passenger cars, and light commercial vehicles",CCM,6.5
Andritz AG,2023,CCM 7.2. Renovation of existing buildings,CCM,7.2
Andritz AG,2023,"CCM 7.4. Installation, maintenance, and repair of charging stations for electric vehicles in buildings (and parking spaces attached to)",CCM,7.4
Andritz AG,2023,"CCM 7.6. Installation, maintenance, and repair of renewable energy technologies",CCM,7.6
Andritz AG,2023,"CE 5.1. Repair, refurbishment and remanufacturing",CE,5.1
"Audax Renovables, S.A.",2023,4.1. Electricity generation through solar photovoltaic technology (Year 2022),,4.1
"Audax Renovables, S.A.",2023,4.3. Electricity generation from wind energy (Year 2022),,4.3
"Azkoyen, S.A.",2023,Provisión de soluciones basadas en datos de TI/OT,,4.1.
"Azkoyen, S.A.",2023,"Reparación, reacondicionamiento y remanufactura (5.1.)",,5.1.
"Azkoyen, S.A.",2023,Venta de repuestos,,5.2.
"Azkoyen, S.A.",2023,Venta de bienes de segunda mano,,5.4.
"Azkoyen, S.A.",2023,Producto como servicio y otros modelos de servicio circulares orientados a resultados y uso,,5.5.
"Azkoyen, S.A.",2023,"Transporte por motocicletas, turismos y vehiculos comerciales (6.5)",,6.5.
"Azkoyen, S.A.",2023,"Instalación, mantenimiento y reparación de equipos de eficiencia energética (7.3)",,7.3.
"Azkoyen, S.A.",2023,"Instalación, mantenimiento y reparación de estaciones de recarga para vehículos eléctricos en edificios (y en las plazas de aparcamiento anexas a los edificios)",,7.4.
"Azkoyen, S.A.",2023,"Instalación, mantenimiento y reparación de tecnologias de energía renovable (7.6)",,7.6.
BAWAG Group AG,2023,Amount and proportion of taxonomy- aligned economic activity referred to in Section 4.26 of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI,,4.26
BAWAG Group AG,2023,Amount and proportion of taxonomy- aligned economic activity referred to in Section 4.27 of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI,,4.27
BAWAG Group AG,2023,Amount and proportion of taxonomy- aligned economic activity referred to in Section 4.28 of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI,,4.28
BAWAG Group AG,2023,Amount and proportion of taxonomy- aligned economic activity referred to in Section 4.29 of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI,,4.29
BAWAG Group AG,2023,Amount and proportion of taxonomy- aligned economic activity referred to in Section 4.30 of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI,,4.30
BAWAG Group AG,2023,Amount and proportion of taxonomy- aligned economic activity referred to in Section 4.31 of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI,,4.31
BAWAG Group AG,2023,Amount and proportion of other taxonomy-aligned economic activities not referred to in rows 1 to 6 above in the denominator of the applicable KPI,,
BAWAG Group AG,2023,Amount and proportion of taxonomy- aligned economic activity referred to in Section 4.26 of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI,,
BAWAG Group AG,2023,Amount and proportion of taxonomy- aligned economic activity referred to in Section 4.27 of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI,,
BAWAG Group AG,2023,Amount and proportion of taxonomy- aligned economic activity referred to in Section 4.28 of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI,,
BAWAG Group AG,2023,Amount and proportion of taxonomy- aligned economic activity referred to in Section 4.29 of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI,,
BAWAG Group AG,2023,Amount and proportion of taxonomy- aligned economic activity referred to in Section 4.30 of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI,,
BAWAG Group AG,2023,Amount and proportion of taxonomy- aligned economic activity referred to in Section 4.31 of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI,,
BAWAG Group AG,2023,"The undertaking carries out, funds or has exposures to construction and safe operation of new nuclear installations to produce electricity or process heat, including for the purposes of district heating or industrial processes such as hydrogen production, as well as their safety upgrades, using best available technologies.",,
BAWAG Group AG,2023,"The undertaking carries out, funds or has exposures to construction or operation of electricity generation facilities that produce electricity using fossil gaseous fuels.",,
BAWAG Group AG,2023,"The undertaking carries out, funds or has exposures to construction or operation of electricity generation facilities that produce electricity using fossil gaseous fuels. Fossil gas related activities",,
BAWAG Group AG,2023,"The undertaking carries out, funds or has exposures to construction, refurbishment and operation of heat generation facilities that produce heat/cool using fossil gaseous fuels.",,
BAWAG Group AG,2023,"The undertaking carries out, funds or has exposures to construction, refurbishment, and operation of combined heat/cool and power generation facilities using fossil gaseous fuels.",,
BAWAG Group AG,2023,"The undertaking carries out, funds or has exposures to research, development, demonstration and deployment of innovative electricity generation facilities that produce energy from nuclear processes with minimal waste from the fuel cycle.",,
BAWAG Group AG,2023,"The undertaking carries out, funds or has exposures to safe operation of existing nuclear installations that produce electricity or process heat, including for the purposes of district heating or industrial processes such as hydrogen production from nuclear energy, as well as their safety upgrades.",,
BMW AG Vz,2023,Manufacture of low carbon technologies for transport,CCM,3.3
BMW AG Vz,2023,Manufacture of low carbon technologies for transport,CCM,3.3
BMW AG Vz,2023,Manufacture of low carbon technologies for transport,CCM,3.3
BMW AG Vz,2023,"Transport by motorbikes, passenger cars and light commercial vehicles",CCM,6.5
BMW AG Vz,2023,"Transport by motorbikes, passenger cars and light commercial vehicles",CCM,6.5
BMW AG Vz,2023,"Transport by motorbikes, passenger cars and light commercial vehicles",CCM,6.5
BMW AG Vz,2023,Sale of second-hand goods,CE,5.4
"Banco Santander, S.A.",2023,10 C2910 - Manufacture of motor vehicles,,
"Banco Santander, S.A.",2023,11 C3011 - Building of ships and floating structures,,
"Banco Santander, S.A.",2023,13 Other C Manufacturing,,
"Banco Santander, S.A.",2023,14 D3511 - Production of electricity,,
"Banco Santander, S.A.",2023,15 D3512 - Transmission of electricity,,
"Banco Santander, S.A.",2023,16 D3513 - Distribution of electricity,,
"Banco Santander, S.A.",2023,17 D3514 - Trade of electricity,,
"Banco Santander, S.A.",2023,"18 Other D Electricity, gas, steam and air conditioning supply",,
"Banco Santander, S.A.",2023,19 E Water supply,,
"Banco Santander, S.A.",2023,20 F4110 - Development of building projects,,
"Banco Santander, S.A.",2023,3 Other B Mining and quarrying,,
"Banco Santander, S.A.",2023,"47 Other M Professional, scientific and technical activities",,
"Banco Santander, S.A.",2023,48 N7711 - Renting and leasing of cars and light motor vehicles,,
"Banco Santander, S.A.",2023,49 N7712 - Renting and leasing of trucks,,
"Banco Santander, S.A.",2023,50 N8010 - Private security activities,,
"Banco Santander, S.A.",2023,51 N8299 - Other business support service activities n.e.c.,,
"Banco Santander, S.A.",2023,52 Other N Administrative and support service activities,,
"Banco Santander, S.A.",2023,54 P Education,,
"Banco Santander, S.A.",2023,55 Q Human health services and social work activities,,
"Banco Santander, S.A.",2023,"56 R Arts, entertainment and recreation",,
"Banco Santander, S.A.",2023,57 S Other services,,
"Banco Santander, S.A.",2023,7 C2442 - Aluminium production,,
"Banco Santander, S.A.",2023,"A Agriculture, forestry and 1 fishing",,
"Banco Santander, S.A.",2023,Amount and proportion of other taxonomy-aligned economic activities not referred to in rows 1 to 6 above in the numerator of the applicable KPI,,
"Banco Santander, S.A.",2023,Amount and proportion of taxonomy- aligned economic activity referred to in Section 4.26 of Annexes I and II to Delegated Regulation 2021/2139 in the numerator of the applicable KPI,,
"Banco Santander, S.A.",2023,Amount and proportion of taxonomy- aligned economic activity referred to in Section 4.27 of Annexes I and II to Delegated Regulation 2021/2139 in the numerator of the applicable KPI,,
"Banco Santander, S.A.",2023,Amount and proportion of taxonomy- aligned economic activity referred to in Section 4.28 of Annexes I and II to Delegated Regulation 2021/2139 in the numerator of the applicable KPI,,
"Banco Santander, S.A.",2023,Amount and proportion of taxonomy- aligned economic activity referred to in Section 4.29 of Annexes I and II to Delegated Regulation 2021/2139 in the numerator of the applicable KPI,,
"Banco Santander, S.A.",2023,Amount and proportion of taxonomy- aligned economic activity referred to in Section 4.30 of Annexes I and II to Delegated Regulation 2021/2139 in the numerator of the applicable KPI,,
"Banco Santander, S.A.",2023,Amount and proportion of taxonomy- aligned economic activity referred to in Section 4.31 of Annexes I and II to Delegated Regulation 2021/2139 in the numerator of the applicable KPI,,
"Banco Santander, S.A.",2023,B910 - Support activities for 2 petroleum and natural gas extraction,,
