company,report_year,chunk_index,activity,Sub_activity_code
AKZO NOBEL NV,2024,1,"Transport by motorbikes, passenger cars and light commercial vehicles",CCM 6.5
AKZO NOBEL NV,2024,1,Renovation of existing buildings,CCM 7.2
AKZO NOBEL NV,2024,1,"Installation, maintenance and repair of renewable energy technologies",CCM 7.6
AKZO NOBEL NV,2024,1,Acquisition and ownership of buildings,CCM 7.7
AKZO NOBEL NV,2024,1,Data-driven solutions for GHG emissions reductions,CCM 8.2
AKZO NOBEL NV,2024,1,Provision of IT/OT data-driven solutions,CE 4.1
AMAG Austria Metall AG,2023,1,Manufacture of aluminium through primary alumina (bauxite) process,CCM 3.8.
AMAG Austria Metall AG,2023,1,Secondary aluminium recycling,CCM 3.8. CCA 3.8.
ARCELORMITTAL SA,2024,1,Electricity Generation from wind power and solar photovoltaic technology,4.1/4.3
ARCELORMITTAL SA,2024,1,Forest Management,CCM 1.3
ARCELORMITTAL SA,2024,1,Manufacture of energy efficient equipment for buildings,CCM 3.5
ARCELORMITTAL SA,2024,1,Manufacture of Iron and Steel,CCM 3.9
ARCELORMITTAL SA,2024,1,Material recovery from non- hazardous waste,CCM 5.9
ARCELORMITTAL SA,2024,1,Construction of new building,CCM 7.1
ASML HOLDING N.V.,2024,1,Electricity generation using solar photovoltaic technology,CCM 4.1
ASML HOLDING N.V.,2024,1,Transmission & distribution of electricity,CCM 4.9
ASML HOLDING N.V.,2024,1,Renovation of existing buildings,CCM 7.2
ASML HOLDING N.V.,2024,1,Acquisition and ownership of buildings,CCM 7.7
ASML HOLDING N.V.,2024,1,R&D costs in the Consolidated financial statements which is eligible under .,CE 1.2
ASML HOLDING N.V.,2024,1,"Repair, refurbishment and remanufacturing",CE 5.1
ASML HOLDING N.V.,2024,1,Sale of spare parts,CE 5.2
ASML HOLDING N.V.,2024,1,Sale of second-hand goods,CE 5.4
ATOSS Software SE,2023,1,"Carriage by motorbikes, passenger cars and light commercial vehicles",CCM 6.5
ATOSS Software SE,2023,1,Manufacturer of electrical and electronic equipment,CE 1.2
ATOSS Software SE,2023,1,"The undertaking carries out, funds or has exposures to construction and safe operationof new nuclear installations to produce electricity or process heat, including for thepurposes of district heating or industrial processes such as hydrogen production, as wellas their safety upgrades, using best available technologies.",
ATOSS Software SE,2023,1,"The undertaking carries out, funds or has exposures to construction or operation of electricitygeneration facilities that produce electricity using fossil gaseous fuels.",
ATOSS Software SE,2023,1,"The undertaking carries out, funds or has exposures to construction, refurbishment andoperation of heat generation facilities that produce heat/cool using fossil gaseous fuels.",
ATOSS Software SE,2023,1,"The undertaking carries out, funds or has exposures to construction, refurbishment, andoperation of combined heat/cool and power generation facilities using fossil gaseousfuels.",
ATOSS Software SE,2023,1,"The undertaking carries out, funds or has exposures to research, development, demonstrationand deployment of innovative electricity generation facilities that produce energy fromnuclear processes with minimal waste from the fuel cycle.",
ATOSS Software SE,2023,1,"The undertaking carries out, funds or has exposures to safe operation of existing nuclearinstallations that produce electricity or process heat, including for the purposes of districtheating or industrial processes such as hydrogen production from nuclear energy, as well astheir safety upgrades.",
Acerinox S.A.,2023,1,"Activities falling under NACE subgroups , C24.20, C24.31, C24.32, C24.33, C24.34, C24.51 and C24.52 qualify as transitional (eligible) activities under article 10(2) of Regulation (EU) 2020/852",C24.10
Acerinox S.A.,2023,1,manufacture of basic iron and steel and ferro-alloys,CCM 24.20
Acerinox S.A.,2023,1,Manufacture of iron and steel,CCM 3.9
Acerinox S.A.,2023,1,"The undertaking carries out, funds or has exposures to construction and safe operation of new nuclear installations to produce electricity or process heat, including for the purposes of district heating or industrial processes such as hydrogen production, as well as their safety upgrades, using best available technologies.",
Acerinox S.A.,2023,1,"The undertaking carries out, funds or has exposures to construction or operation of electricity generation facilities that produce electricity using fossil gaseous fuels.",
Acerinox S.A.,2023,1,"The undertaking carries out, funds or has exposures to construction, refurbishment and operation of heat generation facilities that produce heat/cool using fossil gaseous fuels.",
Acerinox S.A.,2023,1,"The undertaking carries out, funds or has exposures to construction, refurbishment, and operation of combined heat/cool and power generation facilities using fossil gaseous fuels.",
Acerinox S.A.,2023,1,"The undertaking carries out, funds or has exposures to research, development, demonstration and deployment of innovative electricity generation facilities that produce energy from nuclear processes with minimal waste from the fuel cycle.",
Acerinox S.A.,2023,1,"The undertaking carries out, funds or has exposures to safe operation of existing nuclear installations that produce electricity or process heat, including for the purposes of district heating or industrial processes such as hydrogen production from nuclear energy, as well as their safety upgrades.",
Ackermans & van Haaren,2023,1,Remediation of contaminated sites and areas,2.5
Ackermans & van Haaren,2023,1,Electricity generation from wind power,D35.11
Ackermans & van Haaren,2023,1,Transmission and Distribution of Electricity,D35.12
Ackermans & van Haaren,2023,1,Sorting and material recovery of non-hazardous waste,E38.32
Ackermans & van Haaren,2023,1,Renovation of existing buildings,F41
Ackermans & van Haaren,2023,1,Construction of new buildings,F41.1
Ackermans & van Haaren,2023,1,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",F42
Ackermans & van Haaren,2023,1,Infrastructure for rail transport,F42.12
Ackermans & van Haaren,2023,1,Transmission and Distribution of Electricity,J62.01
Ackermans & van Haaren,2023,1,Acquisition and ownership of buildings,L68
"Aena S.M.E., S.A.",2023,1,Production of alternative water resources for purposes other than human consumption,2.2
"Aena S.M.E., S.A.",2023,1,Remediation of contaminated sites and areas,2.4
"Aena S.M.E., S.A.",2023,1,Maintenance of roads and motorways,3.4
"Aena S.M.E., S.A.",2023,1,Infrastructure enabling low-carbon road transport and public transport,6.15
"Aena S.M.E., S.A.",2023,1,Low-carbon airport infrastructure,6.17
"Aena S.M.E., S.A.",2023,1,Air transport ground handling operations,6.20
"Aena S.M.E., S.A.",2023,1,"Transport by motorbikes, passenger cars and light commercial vehicles",6.5
"Aena S.M.E., S.A.",2023,1,"Installation, maintenance and repair of energy-efficient equipment",7.3
"Aena S.M.E., S.A.",2023,1,"Installation, maintenance and repair of charging stations for electric vehicles in buildings",7.4
"Aena S.M.E., S.A.",2023,1,"Installation, maintenance and repair of renewable energy technologies",7.6
"Aena S.M.E., S.A.",2023,1,Acquisition and ownership of buildings,7.7
Agrana Beteiligungs-AG,2023,,,
Allianz SE,2023,1,Of which reinsured,1.1
Allianz SE,2023,1,Of which stemming from reinsurance activities,1.2
Allianz SE,2023,1,Investments funding Taxonomy-aligned economic activities referred to,4.26
Allianz SE,2023,1,Investments funding Taxonomy-aligned economic activities referred to,4.27
Allianz SE,2023,1,Investments funding Taxonomy-aligned economic activities referred to,4.28
Allianz SE,2023,1,Investments funding Taxonomy-aligned economic activities referred to,4.29
Allianz SE,2023,1,Investments funding Taxonomy-aligned economic activities referred to,4.30
Allianz SE,2023,1,Investments funding Taxonomy-aligned economic activities referred to,4.31
Allianz SE,2023,1,(1) Climate change mitigation,
Allianz SE,2023,1,(2) Climate change adaptation,
Allianz SE,2023,1,Non-life insurance and reinsurance underwriting Taxonomy-aligned activities,
Allianz SE,2023,1,Non-life insurance and reinsurance underwriting Taxonomy-eligible but not environmentally sustainable activities,
Allianz SE,2023,1,Non-life insurance and reinsurance underwriting Taxonomy-non-eligible activities,
Alzchem Group AG,2023,1,Power generation using photovoltaic technology,CCM 4.1
Alzchem Group AG,2023,1,Transmission and distribution of electricity (e),CCM 4.9
Alzchem Group AG,2023,1,"Construction, expansion and operation of water extraction, treatment and supply systems",CCM 5.1
Alzchem Group AG,2023,1,"Renewal of water extraction, treatment and supply systems",CCM 5.2
Alzchem Group AG,2023,1,"Construction, expansion and operation of wastewater collection and treatment systems",CCM 5.3
Alzchem Group AG,2023,1,Renewal of wastewater collection and treatment systems,CCM 5.4
Alzchem Group AG,2023,1,Rail transport infrastructure,CCM 6.14
Alzchem Group AG,2023,1,Freight transportation by rail,CCM 6.2
Alzchem Group AG,2023,1,"Operation of devices for personal mobility, cycling logistics",CCM 6.4
Alzchem Group AG,2023,1,"Data processing, hosting and related activities",CCM 8.1
Alzchem Group AG,2023,1,"Market-oriented research, development and innovation",CCM 9.1
Andritz AG,2023,1,Manufacture of renewable energy technologies,CCM 3.1.
Andritz AG,2023,1,"Manufacture, installation, and servicing of high, medium and low voltage electrical equipment for electrical transmission and distribution",CCM 3.20.
Andritz AG,2023,1,Manufacture of other low carbon technologies,CCM 3.6.
Andritz AG,2023,1,"Renewal of water collection, treatment, and supply systems",CCM 5.2.
Andritz AG,2023,1,"Transport by motorbikes, passenger cars, and light commercial vehicles",CCM 6.5.
Andritz AG,2023,1,Renovation of existing buildings,CCM 7.2.
Andritz AG,2023,1,"Installation, maintenance, and repair of charging stations for electric vehicles in buildings",CCM 7.4.
Andritz AG,2023,1,"Installation, maintenance, and repair of renewable energy technologies",CCM 7.6.
Andritz AG,2023,1,"Repair, refurbishment and remanufacturing",CE 5.1.
Andritz AG,2023,1,"Manufacture, installation, and servicing of high, medium, and low voltage electrical equipment for electrical transmission and distribution",OBJECTIVE 3.20
"Audax Renovables, S.A.",2023,1,Electricity generation through solar photovoltaic technology (Year 2022),4.1
"Audax Renovables, S.A.",2023,1,Electricity generation from wind energy (Year 2022),4.3
"Azkoyen, S.A.",2023,1,Provisión de soluciones basadas en datos de TI/OT,4.1.
"Azkoyen, S.A.",2023,1,"Reparación, reacondicionamiento y remanufactura",5.1.
"Azkoyen, S.A.",2023,1,Venta de repuestos,5.2.
"Azkoyen, S.A.",2023,1,Venta de bienes de segunda mano,5.4.
"Azkoyen, S.A.",2023,1,Producto como servicio y otros modelos de servicio circulares orientados a resultados y uso,5.5.
"Azkoyen, S.A.",2023,1,"Transporte por motocicletas, turismos y vehiculos comerciales",6.5.
"Azkoyen, S.A.",2023,1,"Instalación, mantenimiento y reparación de equipos de eficiencia energética",7.3.
"Azkoyen, S.A.",2023,1,"Instalación, mantenimiento y reparación de estaciones de recarga para vehículos eléctricos en edificios (y en las plazas de aparcamiento anexas a los edificios)",7.4.
"Azkoyen, S.A.",2023,1,"Instalación, mantenimiento y reparación de tecnologias de energía renovable",7.6.
BAWAG Group AG,2023,1,1. Amount and proportion of taxonomy-aligned economic activity referred to in Section of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI,4.26
BAWAG Group AG,2023,1,2. Amount and proportion of taxonomy-aligned economic activity referred to in Section of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI,4.27
BAWAG Group AG,2023,1,3. Amount and proportion of taxonomy-aligned economic activity referred to in Section of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI,4.28
BAWAG Group AG,2023,1,4. Amount and proportion of taxonomy-aligned economic activity referred to in Section of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI,4.29
BAWAG Group AG,2023,1,5. Amount and proportion of taxonomy-aligned economic activity referred to in Section of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI,4.30
BAWAG Group AG,2023,1,6. Amount and proportion of taxonomy-aligned economic activity referred to in Section of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI,4.31
BAWAG Group AG,2023,1,C1104<br>1,C1104
BAWAG Group AG,2023,1,C1105<br>2,C1105
BAWAG Group AG,2023,1,C1520<br>3,C1520
BAWAG Group AG,2023,1,C1712<br>4,C1712
BAWAG Group AG,2023,1,C2016<br>5,C2016
BAWAG Group AG,2023,1,C2120<br>6,C2120
BAWAG Group AG,2023,1,C2229<br>7,C2229
BAWAG Group AG,2023,1,C2611<br>8,C2611
BAWAG Group AG,2023,1,C2893<br>9,C2893
BAWAG Group AG,2023,1,C2910<br>10,C2910
BAWAG Group AG,2023,1,D351<br>11,D351
BAWAG Group AG,2023,1,F4120<br>12,F4120
BAWAG Group AG,2023,1,G4651<br>13,G4651
BAWAG Group AG,2023,1,H5223<br>14,H5223
BAWAG Group AG,2023,1,J6190<br>15,J6190
BAWAG Group AG,2023,1,J6209<br>16,J6209
BAWAG Group AG,2023,1,J6399<br>17,J6399
BAWAG Group AG,2023,1,L6820<br>18,L6820
BAWAG Group AG,2023,1,M7010<br>M7120<br>19<br>20,M7010
BAWAG Group AG,2023,1,N77112<br>20,N77112
BAWAG Group AG,2023,1,"1. The undertaking carries out, funds or has exposures to research, development, demonstration and deployment of innovative electricity generation facilities that produce energy from nuclear processes with minimal waste from the fuel cycle.",
BAWAG Group AG,2023,1,"2. The undertaking carries out, funds or has exposures to construction and safe operation of new nuclear installations to produce electricity or process heat, including for the purposes of district heating or industrial processes such as hydrogen production, as well as their safety upgrades, using best available technologies.",
BAWAG Group AG,2023,1,"3. The undertaking carries out, funds or has exposures to safe operation of existing nuclear installations that produce electricity or process heat, including for the purposes of district heating or industrial processes such as hydrogen production from nuclear energy, as well as their safety upgrades.",
BAWAG Group AG,2023,1,"4. The undertaking carries out, funds or has exposures to construction or operation of electricity generation facilities that produce electricity using fossil gaseous fuels.",
BAWAG Group AG,2023,1,"5. The undertaking carries out, funds or has exposures to construction, refurbishment, and operation of combined heat/cool and power generation facilities using fossil gaseous fuels.",
BAWAG Group AG,2023,1,"6. The undertaking carries out, funds or has exposures to construction, refurbishment and operation of heat generation facilities that produce heat/cool using fossil gaseous fuels.",
BAWAG Group AG,2023,1,7. Amount and proportion of other taxonomy-aligned economic activities not referred to in rows 1 to 6 above in the denominator of the applicable KPI,
BAWAG Group AG,2023,1,7. Amount and proportion of other taxonomy-aligned economic activities not referred to in rows 1 to 6 above in the numerator of the applicable KPI,
BMW AG Vz,2023,1,Manufacture of automotive and mobility components,CCM 3.18
BMW AG Vz,2023,1,Manufacture of low carbon technologies for transport,CCM 3.3
BMW AG Vz,2023,1,Manufacture of low carbon technologies for transport,"CCM 3.3, CCA 3.3"
BMW AG Vz,2023,1,Manufacture of low carbon technologies for transport,CCM 3.3; CCA 3.3
BMW AG Vz,2023,1,"Transport by motorbikes, passenger cars and light commercial vehicles",CCM 6.5
BMW AG Vz,2023,1,"Transport by motorbikes, passenger cars and light commercial vehicles","CCM 6.5, CCA 6.5"
BMW AG Vz,2023,1,"Transport by motorbikes, passenger cars and light commercial vehicles",CCM 6.5; CCA 6.5
BMW AG Vz,2023,1,Sale of second-hand goods,CE 5.4
"Banco Santander, S.A.",2023,1,1 Amount and proportion of economic activity referred to in row 1 of Template 1 that is taxonomy-non-eligible in accordance with Section of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI 0 0,4.26
"Banco Santander, S.A.",2023,1,2 Amount and proportion of taxonomy- eligible but not taxonomy-aligned economic activity referred to in Section of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI 0 0,4.27
"Banco Santander, S.A.",2023,1,3 Amount and proportion of taxonomy- eligible but not taxonomy-aligned economic activity referred to in Section of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI 0 0,4.28
"Banco Santander, S.A.",2023,1,4 Amount and proportion of taxonomy- eligible but not taxonomy-aligned economic activity referred to in Section of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI 0 0,4.29
"Banco Santander, S.A.",2023,1,5 Amount and proportion of taxonomy- eligible but not taxonomy-aligned economic activity referred to in Section of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI 0 0,4.30
"Banco Santander, S.A.",2023,1,6 Amount and proportion of taxonomy- eligible but not taxonomy-aligned economic activity referred to in Section of Annexes I and II to Delegated Regulation 2021/2139 in the denominator of the applicable KPI 0 0,4.31
"Banco Santander, S.A.",2023,1,"7 Amount and proportion of other taxonomy-eligible but not taxonomy-aligned economic activities not referred to in rows 1 to 6 above in the denominator of the applicable KPI 822,367",63.8
"Banco Santander, S.A.",2023,1,"7 Amount and proportion of other taxonomy-non-eligible economic activities not referred to in rows 1 to 6 above in the denominator of the applicable KPI 823,644",63.9
"Banco Santander, S.A.",2023,1,"Agriculture, forestry and fishing",A
"Banco Santander, S.A.",2023,1,Mining and quarrying,B
"Banco Santander, S.A.",2023,1,Support activities for petroleum and natural gas extraction,B910
"Banco Santander, S.A.",2023,1,Manufacture of homogenised food preparations and dietetic food,C1086
"Banco Santander, S.A.",2023,1,Manufacture of refined petroleum products,C1920
"Banco Santander, S.A.",2023,1,Manufacture of basic iron and steel and of ferro alloys,C2410
"Banco Santander, S.A.",2023,1,Aluminium production,C2442
"Banco Santander, S.A.",2023,1,Manufacture of other electronic and electric wires and cables,C2732
"Banco Santander, S.A.",2023,1,Manufacture of wiring devices,C2733
"Banco Santander, S.A.",2023,1,Manufacture of motor vehicles,C2910
"Banco Santander, S.A.",2023,1,Production of electricity,D3511
"Banco Santander, S.A.",2023,1,"Water collection, treatment and supply",E3600
"Banco Santander, S.A.",2023,1,Renting and operating of own or leased real estate,L6820
"Banco Santander, S.A.",2023,1,Real estate agencies,L6831
"Banco Santander, S.A.",2023,1,"Accounting, bookkeeping and auditing activities; tax consultancy",M6920
"Banco Santander, S.A.",2023,1,Business and other management consultancy activities,M7022
"Banco Santander, S.A.",2023,1,Engineering activities and related technical consultancy,M7112
"Banco Santander, S.A.",2023,1,Renting and leasing of cars and light motor vehicles,N7711
"Banco Santander, S.A.",2023,1,Renting and leasing of trucks,N7712
Bayer AG,2023,1,"Construction, extension and operation of waste water collection and treatment",CCM 5.3
Bayer AG,2023,1,Renewal of waste water collection and treatment,CCM 5.4
Bayer AG,2023,1,"Transport by motorbikes, passenger cars and light commercial vehicles",CCM 6.5
Bayer AG,2023,1,Renovation of existing buildings,CCM 7.2
Bayer AG,2023,1,"Installation, maintenance and repair of energy efficiency equipment",CCM 7.3
Bayer AG,2023,1,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",CCM 7.5
Bayer AG,2023,1,Acquisition and ownership of buildings,CCM 7.7
Bayer AG,2023,1,Manufacture of medicinal products,PPC 1.2
Bayer AG,2023,1,Manufacture of medicinal products,
Bechtle AG,2023,1,Automobiles and lorries,6.5
Bechtle AG,2023,1,Renovation of existing buildings,7.2
Bechtle AG,2023,1,Energy-efficient equipment,7.3
Bechtle AG,2023,1,Charging stations,7.4
Bechtle AG,2023,1,Renewable energies,7.6
Bechtle AG,2023,1,Buildings,7.7
Beiersdorf AG,2023,1,"Transport by motorbikes, passenger cars and light commercial vehicles",6.5
Beiersdorf AG,2023,1,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",7.5
Beiersdorf AG,2023,1,"Installation, maintenance and repair of renewable energy technologies",7.6
Beiersdorf AG,2023,1,Acquisition and ownership of buildings,7.7
Beiersdorf AG,2023,1,Manufacture of batteries,CCM 3.4
Beiersdorf AG,2023,1,Production of heat/cool using waste heat,CCM 4.25
Beiersdorf AG,2023,1,High-efficiency co-generation of heat/cool and power from fossil gaseous fuels,CCM 4.30
Beiersdorf AG,2023,1,"Transport by motorbikes, passenger cars and light commercial vehicles",CCM 6.5
Beiersdorf AG,2023,1,"Installation, maintenance and repair of energy efficiency equipment",CCM 7.3
Beiersdorf AG,2023,1,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",CCM 7.4
Beiersdorf AG,2023,1,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",CCM 7.5
Beiersdorf AG,2023,1,"Installation, maintenance and repair of renewable energy technologies",CCM 7.6
Beiersdorf AG,2023,1,Acquisition and ownership of buildings,CCM 7.7
Beiersdorf AG,2023,1,"Data processing, hosting and related activities",CCM 8.1
Beiersdorf AG,2023,1,Data-driven solutions for GHG emissions reductions,CCM 8.2
Bike24 Holding AG,2023,1,"Operation of personal mobility equipment, bicycle logistics",6.4
Bike24 Holding AG,2023,1,Acquisition and ownership of buildings,7.7
Bike24 Holding AG,2023,1,"Bedienung von persönlichen Mobilitätshilfen, Fahrradlogistik",
Bike24 Holding AG,2023,1,"Operation of personal mobility devices, cycle logistics",
Bilfinger SE,2023,,,
Brenntag SE,2023,1,Construction of new buildings,CCM 3.1.
Brenntag SE,2023,1,Manufacture of other low-carbon technologies,CCM 3.6.
Brenntag SE,2023,1,"Transport by motorbikes, passenger cars and light commercial vehicles",CCM 6.5.
Brenntag SE,2023,1,Freight transport services by road,CCM 6.6.
Brenntag SE,2023,1,Construction of new buildings,CCM 7.1.
Brenntag SE,2023,1,"Installation, maintenance and repair of energy efficiency equipment",CCM 7.3.
Brenntag SE,2023,1,"Installation, maintenance and repair of charging stations for electric vehicles",CCM 7.4.
Brenntag SE,2023,1,"Installation, maintenance and repair of renewable energy technologies",CCM 7.6.
Brenntag SE,2023,1,Acquisition and ownership of buildings,CCM 7.7.
Brenntag SE,2023,1,Treatment of hazardous waste,CE 2.4.
Brenntag SE,2023,1,Remediation of contaminated sites and areas,PPC 2.4.
Brenntag SE,2023,1,Treatment of urban waste water,WTR 2.2.
CA Immobilien Anlagen AG,2023,1,Construction of new buildings,F.41.2
CA Immobilien Anlagen AG,2023,1,Acquisition and ownership of buildings,L.68
CA Immobilien Anlagen AG,2023,1,Acquisition and ownership of buildings,
CA Immobilien Anlagen AG,2023,1,Construction of new buildings,
CA Immobilien Anlagen AG,2023,1,Transport by passenger car,
CARREFOUR,2024,1,"Manufacture, installation and associated services for leakage control technologies enabling leakage reduction and prevention in water supply systems",1.1
CARREFOUR,2024,1,Capital expenditure on IT hardware,1.2
CARREFOUR,2024,1,Sorting and material recovery of non-hazardous waste,2.7
CARREFOUR,2024,1,Providing IT/operational solutions based on data,4.1
CARREFOUR,2024,1,Sale of second-hand goods,5.4
CARREFOUR,2024,1,Recycling and reusing plastic and cardboard,5.5
CARREFOUR,2024,1,"Transport by motorbikes, passenger cars and light commercial vehicles",6.5
CARREFOUR,2024,1,Construction of new buildings,7.1
CARREFOUR,2024,1,Renovation of existing buildings,7.2
CARREFOUR,2024,1,"LED, lighting installations, reﬂective paint for roofs.",7.3
CARREFOUR,2024,1,"Installation, maintenance and repair of charging stations for electric vehicules in buildings (and parking spaces attached to buildings)",7.4
CARREFOUR,2024,1,"Installation, maintenance and repair of instruments and devices for measuring, regulating and controlling energy performance of buildings",7.5
CARREFOUR,2024,1,"Installation, maintenance and repair of renewable energy technologies",7.6
CARREFOUR,2024,1,Acquisition and ownership of buildings,7.7
CARREFOUR,2024,1,Collection and transport of non‑hazardous waste in source segregated fractions,CCM 5.5
CARREFOUR,2024,1,"Transport by motorbikes, passenger cars and light commercial vehicles",CCM 6.5
CARREFOUR,2024,1,Construction of new buildings,CCM 7.1
CARREFOUR,2024,1,"Installation, maintenance and repair of energy efficiency equipment",CCM 7.3
CARREFOUR,2024,1,"Installation, maintenance and repair of charging stations for electric vehicles in buildings (and parking spaces attached to buildings)",CCM 7.4
CARREFOUR,2024,1,"Installation, maintenance and repair of instruments and devices for measuring, regulating and controlling the energy performance of buildings",CCM 7.5
CARREFOUR,2024,1,"Installation, maintenance and repair of renewable energy technologies",CCM 7.6
CARREFOUR,2024,1,Acquisition and ownership of buildings,CCM 7.7
CARREFOUR,2024,1,"Manufacturing of electrical and electronic equipment for industrial, professional and consumer use",CE 1.2
CARREFOUR,2024,1,Sorting and material recovery of non‑hazardous waste,CE 2.7
CARREFOUR,2024,1,Provision of IT/OT data‑driven solutions,CE 4.1
CARREFOUR,2024,1,Sale of second‑hand goods,CE 5.4
CEWE Stiftung & Co. KGaA,2023,1,"Operation of personal mobility devices, cycle logistics",CCM 6.4
CEWE Stiftung & Co. KGaA,2023,1,"Transport by motorbikes, passenger cars and light commercial vehicles",CCM 6.5
CEWE Stiftung & Co. KGaA,2023,1,"Installation, maintenance and repair of energy efficiency equipment",CCM 7.4
CEWE Stiftung & Co. KGaA,2023,1,"Installation, maintenance and repair of instruments and devices for measuring, regulation and controlling energy performance of buildings",CCM 7.5
