company_id,domain,query,best_link
DS SMITH LIMITED,www.dssmith.com,"""DS SMITH LIMITED"" site:www.dssmith.com ""Annual Report 2024"" filetype:pdf | ""DS SMITH LIMITED"" site:www.dssmith.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.dssmith.com/contentassets/5318335f89404a1f96bcd238b5344e58/ds-smith-annual-report-2024.pdf
EQUINOR ASA,cdn.equinor.com,"""EQUINOR ASA"" site:cdn.equinor.com ""Annual Report 2024"" filetype:pdf | ""EQUINOR ASA"" site:cdn.equinor.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"" OR ""Annual-Report-2024"") filetype:pdf",https://cdn.equinor.com/files/h61q9gi9/global/16ccbc5a098c3b971979118420c4f83ddee18fb4.pdf?annual-report-2024-equinor.pdf
ESSILORLUXOTTICA,cms.essilorluxottica.com,"""ESSILORLUXOTTICA"" site:cms.essilorluxottica.com ""Annual Report 2024"" filetype:pdf | ""ESSILORLUXOTTICA"" site:cms.essilorluxottica.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",http://cms.essilorluxottica.com/caas/v1/media/253410/data/download/f3fc336829625bff7ba4953197866281.pdf
GALP ENERGIA SGPS S.A.,www.galp.com,"""GALP ENERGIA SGPS S.A."" site:www.galp.com ""Annual Report 2024"" filetype:pdf | ""GALP ENERGIA SGPS S.A."" site:www.galp.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.galp.com/corp/Portals/0/Recursos/Investidores/IMR2024/IntegratedManagementReport.pdf
HENKEL AG & CO. KGAA,www.henkel.com,"""HENKEL AG & CO. KGAA"" site:www.henkel.com ""Annual Report 2024"" filetype:pdf | ""HENKEL AG & CO. KGAA"" site:www.henkel.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.henkel.com/resource/blob/2043310/8e58944556950ebb78141bf6a86b58a9/data/2024-sustainability-report.pdf
HSBC HOLDINGS PLC,www.hsbc.com,"""HSBC HOLDINGS PLC"" site:www.hsbc.com ""Annual Report 2024"" filetype:pdf | ""HSBC HOLDINGS PLC"" site:www.hsbc.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.hsbc.com/-/files/hsbc/investors/hsbc-results/2024/annual/pdfs/hsbc-holdings-plc/250219-annual-report-and-accounts-2024.pdf
INCHCAPE PLC,www.inchcape.com,"""INCHCAPE PLC"" site:www.inchcape.com ""Annual Report 2024"" filetype:pdf | ""INCHCAPE PLC"" site:www.inchcape.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.inchcape.com/wp-content/uploads/2025/03/Inchcape-ARA-2024.pdf
ISS A/S,brand.issworld.com,"""ISS A/S"" site:brand.issworld.com ""Annual Report 2024"" filetype:pdf | ""ISS A/S"" site:brand.issworld.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://brand.issworld.com/m/1bb99b2c33c4d7cf/original/ISS-Annual-Report-2024.pdf
JDE PEET'S N.V.,www.jdepeets.com,"""JDE PEET'S N.V."" site:www.jdepeets.com ""Annual Report 2024"" filetype:pdf | ""JDE PEET'S N.V."" site:www.jdepeets.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.jdepeets.com/siteassets/home/sustainability/resources/jde-peets-nv-cdp-2024.pdf
KION GROUP AG,www.kiongroup.com,"""KION GROUP AG"" site:www.kiongroup.com ""Annual Report 2024"" filetype:pdf | ""KION GROUP AG"" site:www.kiongroup.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdf",https://www.kiongroup.com/KION-Website-Main/About-us/Sustainability/Insights/KION-Supplementary-Non-financial-Insights-2024.pdf
GLENCORE PLC,www.glencore.com,"""GLENCORE PLC"" site:www.glencore.com ""Annual Report 2024"" filetype:pdf | ""GLENCORE PLC"" site:www.glencore.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.glencore.com/.rest/api/v1/documents/static/7a4295e4-3674-45e9-94c4-7d7fb285faff/GLEN-2024-Annual-Report.pdf
TOTALENERGIES SE,www.totalenergies.com,"""TOTALENERGIES SE"" site:www.totalenergies.com ""Annual Report 2024"" filetype:pdf | ""TOTALENERGIES SE"" site:www.totalenergies.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://totalenergies.com/system/files/documents/totalenergies_universal-registration-document-2024_2025_en.pdf
MERCEDES-BENZ GROUP AG,www.group.mercedes-benz.com,"""MERCEDES-BENZ GROUP AG"" site:www.group.mercedes-benz.com ""Annual Report 2024"" filetype:pdf | ""MERCEDES-BENZ GROUP AG"" site:www.group.mercedes-benz.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://group.mercedes-benz.com/documents/investors/reports/annual-report/mercedes-benz/mercedes-benz-annual-report-2024-incl-combined-management-report-mbg-ag.pdf
BMW,www.bmwgroup.com,"""BAYERISCHE MOTOREN WERKE AG"" site:www.bmwgroup.com ""Annual Report 2024"" filetype:pdf | ""BAYERISCHE MOTOREN WERKE AG"" site:www.bmwgroup.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.bmwgroup.com/content/dam/grpw/websites/bmwgroup_com/ir/downloads/en/2025/bericht/BMW-Group-Report-2024-en.pdf
NESTLE S.A.,www.nestle.com,"""NESTLE S.A."" site:www.nestle.com ""Annual Report 2024"" filetype:pdf | ""NESTLE S.A."" site:www.nestle.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.nestle.com/sites/default/files/2025-02/non-financial-statement-2024.pdf
ALLIANZ SE,www.allianz.com,"""ALLIANZ SE"" site:www.allianz.com ""Annual Report 2024"" filetype:pdf | ""ALLIANZ SE"" site:www.allianz.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.allianz.com/content/dam/onemarketing/azcom/Allianz_com/investor-relations/en/results-reports/annual-report/ar-2024/de-allianz-se-geschaeftsbericht-2024.pdf
ENI S.P.A.,www.eni.com,"""ENI S.P.A."" site:www.eni.com ""Annual Report 2024"" filetype:pdf | ""ENI S.P.A."" site:www.eni.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.eni.com/content/dam/enicom/documents/eng/reports/2024/ar-2024/Annual-Report-2024.pdf
DEUTSCHE TELEKOM AG,www.telekom.com,"""DEUTSCHE TELEKOM AG"" site:www.telekom.com ""Annual Report 2024"" filetype:pdf | ""DEUTSCHE TELEKOM AG"" site:www.telekom.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.telekom.com/resource/blob/1085970/9e25d438580a5e3f39521fd94ed5e48c/dt-24-annual-report-data.pdf
KONINKLIJKE AHOLD DELHAIZE N.V.,www.aholddelhaize.com,"""KONINKLIJKE AHOLD DELHAIZE N.V."" site:www.aholddelhaize.com ""Annual Report 2024"" filetype:pdf | ""KONINKLIJKE AHOLD DELHAIZE N.V."" site:www.aholddelhaize.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.aholddelhaize.com/media/eacd1r3g/annual-report-2024-ahold-delhaize.pdf
CARREFOUR,www.carrefour.com,"""CARREFOUR"" site:www.carrefour.com ""Annual Report 2024"" filetype:pdf | ""CARREFOUR"" site:www.carrefour.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.carrefour.com/sites/default/files/2025-04/CFR_URD_2024_EN_250328_MEL.pdf
TESCO PLC,www.tescoplc.com,"""TESCO PLC"" site:www.tescoplc.com ""Annual Report 2024"" filetype:pdf | ""TESCO PLC"" site:www.tescoplc.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.tescoplc.com/media/zgvhd0dn/tescos_ar24.pdf
CHRISTIAN DIOR,www.dior-finance.com,"""CHRISTIAN DIOR"" site:www.dior-finance.com ""Annual Report 2024"" filetype:pdf | ""CHRISTIAN DIOR"" site:www.dior-finance.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.dior-finance.com/pdf/d/2/1124/Christian%20Dior%20-%20Annual%20Report%20as%20of%20December%2031%2C%202024.pdf
E.ON SE,www.eon.com,"""E.ON SE"" site:www.eon.com ""Annual Report 2024"" filetype:pdf | ""E.ON SE"" site:www.eon.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://annualreport.eon.com/content/dam/eon-annualreport/documents/en/GB24-gesamt-EN_final.pdf
ENGIE,www.engie.com,"""ENGIE"" site:www.engie.com ""Annual Report 2024"" filetype:pdf | ""ENGIE"" site:www.engie.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.engie.com/sites/default/files/assets/documents/2024-03/ENGIE_RI24_VA_0103.pdf
AIRBUS SE,www.airbus.com,"""AIRBUS SE"" site:www.airbus.com ""Annual Report 2024"" filetype:pdf | ""AIRBUS SE"" site:www.airbus.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.airbus.com/sites/g/files/jlcbta136/files/2025-04/Airbus%20Annual%20Report%202024.pdf
ROCHE HOLDING AG,www.roche.com,"""ROCHE HOLDING AG"" site:www.roche.com ""Annual Report 2024"" filetype:pdf | ""ROCHE HOLDING AG"" site:www.roche.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://assets.roche.com/f/174029/x/74e4b5f7dc/roche-annual-report-2024.pdf
MUNCHENER RUCKVERSICHERUNGS-GESELLSCHAFT AKTIENGESELLSCHAFT IN MUNCHEN,www.munichre.com,"""MUNCHENER RUCKVERSICHERUNGS-GESELLSCHAFT AKTIENGESELLSCHAFT IN MUNCHEN"" site:www.munichre.com ""Annual Report 2024"" filetype:pdf | ""MUNCHENER RUCKVERSICHERUNGS-GESELLSCHAFT AKTIENGESELLSCHAFT IN MUNCHEN"" site:www.munichre.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.munichre.com/content/dam/munichre/mrwebsiteslaunches/2024-annual-report/MunichRe-Group-Annual-Report-2024-en.pdf/_jcr_content/renditions/original./MunichRe-Group-Annual-Report-2024-en.pdf
UNILEVER PLC,www.unilever.com,"""UNILEVER PLC"" site:www.unilever.com ""Annual Report 2024"" filetype:pdf | ""UNILEVER PLC"" site:www.unilever.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.unilever.com/files/unilever-annual-report-and-accounts-2024.pdf
DAIMLER TRUCK HOLDING AG,www.daimlertruck.com,"""DAIMLER TRUCK HOLDING AG"" site:www.daimlertruck.com ""Annual Report 2024"" filetype:pdf | ""DAIMLER TRUCK HOLDING AG"" site:www.daimlertruck.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.daimlertruck.com/fileadmin/user_upload/documents/investors/reports/annual-reports/2024/daimler-truck-ir-annual-report-2024-incl-combined-management-report-dth-ag.pdf
COMPASS GROUP PLC,www.compass-group.com,"""COMPASS GROUP PLC"" site:www.compass-group.com ""Annual Report 2024"" filetype:pdf | ""COMPASS GROUP PLC"" site:www.compass-group.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.compass-group.com/content/dam/compass-group/corporate/oar-2024/annual-report-2024.pdf
A P MOLLER-MAERSK A/S,www.maersk.com,"""A P MOLLER-MAERSK A/S"" site:www.maersk.com ""Annual Report 2024"" filetype:pdf | ""A P MOLLER-MAERSK A/S"" site:www.maersk.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.maersk.com/~/media_sc9/maersk/corporate/sustainability/files/resources/2024/maersk-annual-report-2024.pdf
ASTRAZENECA PLC,www.astrazeneca.com,"""ASTRAZENECA PLC"" site:www.astrazeneca.com ""Annual Report 2024"" filetype:pdf | ""ASTRAZENECA PLC"" site:www.astrazeneca.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.astrazeneca.com/content/dam/az/Investor_Relations/annual-report-2024/pdf/AstraZeneca_AR_2024.pdf
NOVARTIS AG,www.novartis.com,"""NOVARTIS AG"" site:www.novartis.com ""Annual Report 2024"" filetype:pdf | ""NOVARTIS AG"" site:www.novartis.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.novartis.com/sites/novartiscom/files/novartis-annual-report-2024.pdf
IBERDROLA SA,www.iberdrola.com,"""IBERDROLA SA"" site:www.iberdrola.com ""Annual Report 2024"" filetype:pdf | ""IBERDROLA SA"" site:www.iberdrola.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.iberdrola.com/documents/20125/4778712/gsm25-sustainability-report-2024.pdf
L'OREAL,www.loreal.com,"""L'OREAL"" site:www.loreal.com ""Annual Report 2024"" filetype:pdf | ""L'OREAL"" site:www.loreal.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.loreal.com/-/media/project/loreal/brand-sites/corp/master/lcorp/2-group/annual-reports/loreal2024annualreport.pdf
SAINSBURY (J) PLC,www.j-sainsbury.co.uk,"""SAINSBURY (J) PLC"" site:www.j-sainsbury.co.uk ""Annual Report 2024"" filetype:pdf | ""SAINSBURY (J) PLC"" site:www.j-sainsbury.co.uk (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",http://www.j-sainsbury.co.uk/~/media/Files/S/Sainsburys/documents/reports-and-presentations/annual-reports/2024/sainsbury-annual-report-and-financial-statements-2024.pdf
NOVO NORDISK A/S,www.novonordisk.com,"""NOVO NORDISK A/S"" site:www.novonordisk.com ""Annual Report 2024"" filetype:pdf | ""NOVO NORDISK A/S"" site:www.novonordisk.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.novonordisk.com/content/dam/nncorp/global/en/investors/irmaterial/annual_report/2025/novo-nordisk-annual-report-2024.pdf
INDUSTRIA DE DISENO TEXTIL S.A.,www.inditex.com,"""INDUSTRIA DE DISENO TEXTIL S.A."" site:www.inditex.com ""Annual Report 2024"" filetype:pdf | ""INDUSTRIA DE DISENO TEXTIL S.A."" site:www.inditex.com (""Sustainability Report 2024"" OR ""ESG Report 2024"" OR ""Integrated Report 2024"" OR ""Non-financial Statement 2024"" OR ""Annual Integrated Report 2024"" OR ""AnnualReport2024"" OR ""AnnualIntegratedReport2024"") filetype:pdffiletype:pdf -press -news -presentation -slides -update -outlook -index -governance",https://www.inditex.com/itxcomweb/api/media/604197b9-50de-4f4f-ab84-c1e379cb3fd0/Inditex_Group_Annual_Report_2024.pdf
