stage,slug,company,report_year,chunk_index,batch_index,source_md,n_chunks,start_page,end_page,chunk_tokens_est,n_evidence_lines_in_batch,prompt_tokens_est,elapsed_s,status,error_message,attempt_used,prompt_tokens_api,completion_tokens_api,total_tokens_api,n_evidence_rows_norm,n_rows_normalized
pass1,airbus_se,AIRBUS SE,2024,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\airbus_se\2024\focused\airbus_se_2024_taxonomy_focused.md,1,198.0,207.0,11113,,11569,23.671415,ok,,1.0,11470.0,1237.0,12707.0,13.0,
pass2,airbus_se,AIRBUS SE,2024,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\airbus_se\2024\focused\airbus_se_2024_taxonomy_focused.md,1,,,1008,13.0,1424,11.352221,ok,,1.0,1416.0,667.0,2083.0,,11.0
pass1,akwel,AKWEL,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\akwel\2023\focused\akwel_2023_taxonomy_focused.md,1,91.0,105.0,11439,,11895,21.743572,ok,,1.0,11845.0,1303.0,13148.0,27.0,
pass2,akwel,AKWEL,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\akwel\2023\focused\akwel_2023_taxonomy_focused.md,1,,,1211,27.0,1626,12.765744,ok,,1.0,1618.0,750.0,2368.0,,11.0
pass1,akzo_nobel_nv,AKZO NOBEL NV,2024,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\akzo_nobel_nv\2024\focused\akzo_nobel_nv_2024_taxonomy_focused.md,1,48.0,57.0,7273,,7731,18.750521,ok,,1.0,7697.0,1102.0,8799.0,22.0,
pass2,akzo_nobel_nv,AKZO NOBEL NV,2024,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\akzo_nobel_nv\2024\focused\akzo_nobel_nv_2024_taxonomy_focused.md,1,,,967,22.0,1384,13.080523,ok,,1.0,1380.0,796.0,2176.0,,22.0
pass1,amag_austria_metall_ag,AMAG Austria Metall AG,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\amag_austria_metall_ag\2023\focused\amag_austria_metall_ag_2023_taxonomy_focused.md,3,5.0,26.0,22303,,22762,3.602116,ok,,1.0,22711.0,35.0,22746.0,0.0,
pass1,amag_austria_metall_ag,AMAG Austria Metall AG,2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\amag_austria_metall_ag\2023\focused\amag_austria_metall_ag_2023_taxonomy_focused.md,3,27.0,119.0,20433,,20892,11.021439,ok,,1.0,20699.0,578.0,21277.0,8.0,
pass1,amag_austria_metall_ag,AMAG Austria Metall AG,2023,3.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\amag_austria_metall_ag\2023\focused\amag_austria_metall_ag_2023_taxonomy_focused.md,3,120.0,146.0,15174,,15633,3.367761,ok,,1.0,15429.0,35.0,15464.0,0.0,
pass2,amag_austria_metall_ag,AMAG Austria Metall AG,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\amag_austria_metall_ag\2023\focused\amag_austria_metall_ag_2023_taxonomy_focused.md,3,,,443,8.0,861,3.051675,ok,,1.0,857.0,225.0,1082.0,,4.0
pass1,arcelormittal_sa,ARCELORMITTAL SA,2024,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\arcelormittal_sa\2024\focused\arcelormittal_sa_2024_taxonomy_focused.md,1,62.0,71.0,9520,,9979,18.774541,ok,,1.0,9947.0,1268.0,11215.0,23.0,
pass2,arcelormittal_sa,ARCELORMITTAL SA,2024,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\arcelormittal_sa\2024\focused\arcelormittal_sa_2024_taxonomy_focused.md,1,,,1047,23.0,1465,12.271363,ok,,1.0,1439.0,787.0,2226.0,,12.0
pass1,asml_holding_n_v,ASML HOLDING N.V.,2024,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\asml_holding_n_v\2024\focused\asml_holding_n_v_2024_taxonomy_focused.md,1,252.0,262.0,8524,,8982,6.097572,ok,,1.0,8908.0,995.0,9903.0,18.0,
pass2,asml_holding_n_v,ASML HOLDING N.V.,2024,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\asml_holding_n_v\2024\focused\asml_holding_n_v_2024_taxonomy_focused.md,1,,,761,18.0,1180,13.297475,ok,,1.0,1179.0,897.0,2076.0,,16.0
pass1,at_s_austria_tech_systemtech,AT&S Austria Tech.&Systemtech.,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\at_s_austria_tech_systemtech\2023\focused\at_s_austria_tech_systemtech_2023_taxonomy_focused.md,1,21.0,28.0,5411,,5871,2.916658,ok,,1.0,5858.0,37.0,5895.0,0.0,
pass1,atoss_software_se,ATOSS Software SE,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\atoss_software_se\2023\focused\atoss_software_se_2023_taxonomy_focused.md,2,4.0,107.0,20101,,20558,10.898481,ok,,1.0,20283.0,620.0,20903.0,5.0,
pass1,atoss_software_se,ATOSS Software SE,2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\atoss_software_se\2023\focused\atoss_software_se_2023_taxonomy_focused.md,2,108.0,112.0,377,,834,5.305572,ok,,1.0,842.0,226.0,1068.0,0.0,
pass2,atoss_software_se,ATOSS Software SE,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\atoss_software_se\2023\focused\atoss_software_se_2023_taxonomy_focused.md,2,,,266,5.0,682,8.370714,ok,,1.0,690.0,451.0,1141.0,,5.0
pass1,acciona_s_a,"Acciona, S.A.",2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\acciona_s_a\2023\focused\acciona_s_a_2023_taxonomy_focused.md,1,129.0,251.0,12805,,13264,3.034877,ok,,1.0,13095.0,35.0,13130.0,0.0,
pass1,acea_s_p_a,Acea S.p.A.,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\acea_s_p_a\2023\focused\acea_s_p_a_2023_taxonomy_focused.md,2,41.0,57.0,21038,,21496,5.460357,ok,,1.0,21377.0,35.0,21412.0,0.0,
pass1,acea_s_p_a,Acea S.p.A.,2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\acea_s_p_a\2023\focused\acea_s_p_a_2023_taxonomy_focused.md,2,58.0,152.0,16329,,16787,3.225145,ok,,1.0,16660.0,41.0,16701.0,0.0,
pass1,acerinox_s_a,Acerinox S.A.,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\acerinox_s_a\2023\focused\acerinox_s_a_2023_taxonomy_focused.md,2,51.0,185.0,20566,,21024,16.052547,ok,,1.0,20895.0,993.0,21888.0,3.0,
pass1,acerinox_s_a,Acerinox S.A.,2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\acerinox_s_a\2023\focused\acerinox_s_a_2023_taxonomy_focused.md,2,186.0,280.0,14587,,15045,41.204298,ok,,1.0,15007.0,557.0,15564.0,8.0,
pass2,acerinox_s_a,Acerinox S.A.,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\acerinox_s_a\2023\focused\acerinox_s_a_2023_taxonomy_focused.md,2,,,797,11.0,1214,9.33265,ok,,1.0,1213.0,503.0,1716.0,,4.0
pass1,ackermans_van_haaren,Ackermans & van Haaren,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ackermans_van_haaren\2023\focused\ackermans_van_haaren_2023_taxonomy_focused.md,2,8.0,44.0,20851,,21311,2.576496,ok,,1.0,21200.0,37.0,21237.0,0.0,
pass1,ackermans_van_haaren,Ackermans & van Haaren,2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ackermans_van_haaren\2023\focused\ackermans_van_haaren_2023_taxonomy_focused.md,2,45.0,101.0,15303,,15763,8.096779,ok,,1.0,15731.0,2022.0,17753.0,36.0,
pass2,ackermans_van_haaren,Ackermans & van Haaren,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\ackermans_van_haaren\2023\focused\ackermans_van_haaren_2023_taxonomy_focused.md,2,,,1731,36.0,2150,12.541425,ok,,1.0,2187.0,858.0,3045.0,,15.0
pass1,addiko_bank_ag,Addiko Bank AG,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\addiko_bank_ag\2023\focused\addiko_bank_ag_2023_taxonomy_focused.md,1,136.0,143.0,9432,,9889,4.741413,ok,,1.0,9884.0,34.0,9918.0,0.0,
pass1,aena_s_m_e_s_a,"Aena S.M.E., S.A.",2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\aena_s_m_e_s_a\2023\focused\aena_s_m_e_s_a_2023_taxonomy_focused.md,5,17.0,307.0,20959,,21420,19.191755,ok,,1.0,21184.0,1264.0,22448.0,18.0,
pass1,aena_s_m_e_s_a,"Aena S.M.E., S.A.",2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\aena_s_m_e_s_a\2023\focused\aena_s_m_e_s_a_2023_taxonomy_focused.md,5,308.0,600.0,21064,,21525,56.586479,ok,,2.0,21375.0,1260.0,22635.0,12.0,
pass1,aena_s_m_e_s_a,"Aena S.M.E., S.A.",2023,3.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\aena_s_m_e_s_a\2023\focused\aena_s_m_e_s_a_2023_taxonomy_focused.md,5,601.0,662.0,20623,,21084,26.924497,ok,,1.0,20805.0,1904.0,22709.0,18.0,
pass1,aena_s_m_e_s_a,"Aena S.M.E., S.A.",2023,4.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\aena_s_m_e_s_a\2023\focused\aena_s_m_e_s_a_2023_taxonomy_focused.md,5,663.0,753.0,20851,,21312,3.687873,ok,,1.0,20764.0,38.0,20802.0,0.0,
pass1,aena_s_m_e_s_a,"Aena S.M.E., S.A.",2023,5.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\aena_s_m_e_s_a\2023\focused\aena_s_m_e_s_a_2023_taxonomy_focused.md,5,754.0,760.0,6859,,7320,4.332233,ok,,1.0,7257.0,38.0,7295.0,0.0,
pass2,aena_s_m_e_s_a,"Aena S.M.E., S.A.",2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\aena_s_m_e_s_a\2023\focused\aena_s_m_e_s_a_2023_taxonomy_focused.md,5,,,3392,48.0,3812,22.365246,ok,,1.0,3774.0,1554.0,5328.0,,27.0
pass1,agrana_beteiligungs_ag,Agrana Beteiligungs-AG,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\agrana_beteiligungs_ag\2023\focused\agrana_beteiligungs_ag_2023_taxonomy_focused.md,3,23.0,70.0,21297,,21758,8.331052,ok,,1.0,21528.0,1803.0,23331.0,37.0,
pass1,agrana_beteiligungs_ag,Agrana Beteiligungs-AG,2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\agrana_beteiligungs_ag\2023\focused\agrana_beteiligungs_ag_2023_taxonomy_focused.md,3,78.0,114.0,20086,,20548,2.295125,ok,,1.0,20328.0,36.0,20364.0,0.0,
pass1,agrana_beteiligungs_ag,Agrana Beteiligungs-AG,2023,3.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\agrana_beteiligungs_ag\2023\focused\agrana_beteiligungs_ag_2023_taxonomy_focused.md,3,115.0,115.0,901,,1363,2.981817,ok,,1.0,1362.0,48.0,1410.0,0.0,
pass2,agrana_beteiligungs_ag,Agrana Beteiligungs-AG,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\agrana_beteiligungs_ag\2023\focused\agrana_beteiligungs_ag_2023_taxonomy_focused.md,3,,,1604,37.0,2026,12.790083,ok,,1.0,2009.0,853.0,2862.0,,20.0
pass1,allianz_se,Allianz SE,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\allianz_se\2023\focused\allianz_se_2023_taxonomy_focused.md,3,54.0,68.0,20151,,20608,4.103547,ok,,1.0,20302.0,39.0,20341.0,0.0,
pass1,allianz_se,Allianz SE,2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\allianz_se\2023\focused\allianz_se_2023_taxonomy_focused.md,3,69.0,105.0,20852,,21309,14.676257,ok,,1.0,20904.0,802.0,21706.0,10.0,
pass1,allianz_se,Allianz SE,2023,3.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\allianz_se\2023\focused\allianz_se_2023_taxonomy_focused.md,3,106.0,270.0,13571,,14028,19.351042,ok,,1.0,13833.0,1210.0,15043.0,12.0,
pass2,allianz_se,Allianz SE,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\allianz_se\2023\focused\allianz_se_2023_taxonomy_focused.md,3,,,1543,22.0,1959,10.423953,ok,,1.0,1967.0,551.0,2518.0,,22.0
pass1,alzchem_group_ag,Alzchem Group AG,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\alzchem_group_ag\2023\focused\alzchem_group_ag_2023_taxonomy_focused.md,2,110.0,130.0,20221,,20679,31.131654,ok,,1.0,20634.0,2043.0,22677.0,26.0,
pass1,alzchem_group_ag,Alzchem Group AG,2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\alzchem_group_ag\2023\focused\alzchem_group_ag_2023_taxonomy_focused.md,2,131.0,132.0,2278,,2736,2.82246,ok,,1.0,2738.0,35.0,2773.0,0.0,
pass2,alzchem_group_ag,Alzchem Group AG,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\alzchem_group_ag\2023\focused\alzchem_group_ag_2023_taxonomy_focused.md,2,,,1491,26.0,1908,8.841911,ok,,1.0,1877.0,467.0,2344.0,,11.0
pass1,amadeus_fire_ag,Amadeus Fire AG,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\amadeus_fire_ag\2023\focused\amadeus_fire_ag_2023_taxonomy_focused.md,1,34.0,41.0,5645,,6103,2.968458,ok,,1.0,6053.0,35.0,6088.0,0.0,
pass1,andritz_ag,Andritz AG,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\andritz_ag\2023\focused\andritz_ag_2023_taxonomy_focused.md,2,4.0,52.0,20609,,21065,2.940416,ok,,1.0,20880.0,27.0,20907.0,0.0,
pass1,andritz_ag,Andritz AG,2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\andritz_ag\2023\focused\andritz_ag_2023_taxonomy_focused.md,2,53.0,59.0,4675,,5131,4.669354,ok,,1.0,5114.0,33.0,5147.0,0.0,
pass1,audax_renovables_s_a,"Audax Renovables, S.A.",2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\audax_renovables_s_a\2023\focused\audax_renovables_s_a_2023_taxonomy_focused.md,2,7.0,219.0,20361,,20822,3.857833,ok,,1.0,20672.0,37.0,20709.0,0.0,
pass1,audax_renovables_s_a,"Audax Renovables, S.A.",2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\audax_renovables_s_a\2023\focused\audax_renovables_s_a_2023_taxonomy_focused.md,2,220.0,226.0,4842,,5303,14.616038,ok,,1.0,5278.0,906.0,6184.0,10.0,
pass2,audax_renovables_s_a,"Audax Renovables, S.A.",2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\audax_renovables_s_a\2023\focused\audax_renovables_s_a_2023_taxonomy_focused.md,2,,,570,10.0,990,5.924629,ok,,1.0,978.0,303.0,1281.0,,4.0
pass1,azkoyen_s_a,"Azkoyen, S.A.",2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\azkoyen_s_a\2023\focused\azkoyen_s_a_2023_taxonomy_focused.md,2,214.0,236.0,20759,,21219,16.286249,ok,,1.0,19637.0,1010.0,20647.0,14.0,
pass1,azkoyen_s_a,"Azkoyen, S.A.",2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\azkoyen_s_a\2023\focused\azkoyen_s_a_2023_taxonomy_focused.md,2,237.0,249.0,12874,,13334,15.410713,ok,,1.0,12762.0,890.0,13652.0,6.0,
pass2,azkoyen_s_a,"Azkoyen, S.A.",2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\azkoyen_s_a\2023\focused\azkoyen_s_a_2023_taxonomy_focused.md,2,,,1716,20.0,2135,12.040724,ok,,1.0,1999.0,722.0,2721.0,,18.0
pass1,bawag_group_ag,BAWAG Group AG,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\bawag_group_ag\2023\focused\bawag_group_ag_2023_taxonomy_focused.md,2,55.0,301.0,20591,,21049,3.814661,ok,,1.0,20840.0,35.0,20875.0,0.0,
pass1,bawag_group_ag,BAWAG Group AG,2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\bawag_group_ag\2023\focused\bawag_group_ag_2023_taxonomy_focused.md,2,302.0,373.0,19260,,19718,7.392898,ok,,1.0,19583.0,1226.0,20809.0,20.0,
pass2,bawag_group_ag,BAWAG Group AG,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\bawag_group_ag\2023\focused\bawag_group_ag_2023_taxonomy_focused.md,2,,,474,20.0,892,10.27368,ok,,1.0,907.0,492.0,1399.0,,20.0
pass1,bmw_ag_vz,BMW AG Vz,2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\bmw_ag_vz\2023\focused\bmw_ag_vz_2023_taxonomy_focused.md,4,2.0,32.0,20497,,20952,3.682603,ok,,1.0,20715.0,34.0,20749.0,0.0,
pass1,bmw_ag_vz,BMW AG Vz,2023,2.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\bmw_ag_vz\2023\focused\bmw_ag_vz_2023_taxonomy_focused.md,4,33.0,91.0,20536,,20993,17.775649,ok,,1.0,20842.0,965.0,21807.0,11.0,
pass1,bmw_ag_vz,BMW AG Vz,2023,3.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\bmw_ag_vz\2023\focused\bmw_ag_vz_2023_taxonomy_focused.md,4,92.0,329.0,21358,,21815,3.895133,ok,,1.0,21451.0,34.0,21485.0,0.0,
pass1,bmw_ag_vz,BMW AG Vz,2023,4.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\bmw_ag_vz\2023\focused\bmw_ag_vz_2023_taxonomy_focused.md,4,330.0,339.0,6740,,7197,2.292245,ok,,1.0,7159.0,34.0,7193.0,0.0,
pass2,bmw_ag_vz,BMW AG Vz,2023,,1.0,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\bmw_ag_vz\2023\focused\bmw_ag_vz_2023_taxonomy_focused.md,4,,,821,11.0,1237,39.201469,ok,,1.0,1242.0,525.0,1767.0,,6.0
pass1,banco_santander_s_a,"Banco Santander, S.A.",2023,1.0,,C:\Universita\TESI\esg_agent\RAG_full_bigger\marker_artifacts\banco_santander_s_a\2023\focused\banco_santander_s_a_2023_taxonomy_focused.md,6,20.0,41.0,20063,,20523,34.713746,ok,,1.0,20334.0,35.0,20369.0,0.0,
